"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"311030 Caldas";-;2;-;-;-;-;-;-;-;-;-;-;2
"311090 Campanha";-;1;-;-;-;-;-;-;-;-;-;-;1
"311360 Careaçu";-;-;-;1;-;-;-;-;-;-;-;-;1
"311530 Cataguases";-;-;1;-;-;-;-;-;-;-;-;-;1
"311720 Conceição das Pedras";-;-;-;-;-;-;-;-;-;-;-;1;1
"311790 Congonhal";-;1;-;-;-;-;-;-;-;-;-;-;1
"311800 Congonhas";1;-;-;-;-;-;-;-;-;-;-;-;1
"312050 Cristina";-;-;-;-;-;-;-;-;-;-;-;1;1
"312080 Cruzília";-;-;-;1;-;-;-;-;-;-;-;-;1
"312110 Delfim Moreira";-;-;1;-;-;-;-;-;-;-;-;-;1
"312230 Divinópolis";-;-;-;1;-;-;-;-;-;-;-;-;1
"312510 Extrema";-;-;-;-;-;-;-;1;-;-;-;-;1
"312595 Fervedouro";-;-;-;1;-;-;-;-;-;-;-;-;1
"312870 Guaxupé";-;-;-;-;1;-;-;-;-;-;-;-;1
"312920 Heliodora";1;-;-;-;-;-;-;-;-;-;-;-;1
"312980 Ibirité";1;-;-;-;-;-;-;-;-;-;-;-;1
"313170 Itabira";1;-;-;-;-;-;-;-;-;-;-;-;1
"313190 Itabirito";-;1;-;-;-;-;-;-;-;-;-;-;1
"313240 Itajubá";-;-;1;-;-;-;-;-;-;-;-;-;1
"313380 Itaúna";1;-;-;-;-;-;-;-;-;-;-;-;1
"313670 Juiz de Fora";1;-;2;1;-;-;-;-;-;-;-;-;4
"313760 Lagoa Santa";-;-;-;-;1;-;-;-;-;-;-;-;1
"313780 Lambari";1;-;-;-;-;-;-;-;-;-;-;-;1
"313840 Leopoldina";-;2;-;-;-;-;-;-;-;-;-;-;2
"313950 Manhumirim";-;1;-;-;-;-;-;-;-;-;-;-;1
"314000 Mariana";1;-;1;1;1;-;-;-;-;-;-;-;4
"314110 Matozinhos";-;1;-;-;-;-;-;-;-;-;-;-;1
"314310 Monte Carmelo";1;-;-;1;-;-;-;-;-;-;-;-;2
"314320 Monte Santo de Minas";-;-;-;-;-;-;-;-;-;-;-;1;1
"314400 Mutum";-;-;-;1;-;-;-;-;-;-;-;-;1
"314480 Nova Lima";-;1;-;-;-;-;-;-;-;-;-;-;1
"314590 Ouro Branco";-;-;-;-;-;-;-;-;-;-;-;1;1
"314760 Passa Quatro";1;-;-;-;-;-;-;-;-;-;-;-;1
"314790 Passos";-;-;-;-;1;-;-;-;-;-;-;-;1
"314800 Patos de Minas";-;-;-;1;-;-;-;-;-;-;-;-;1
"314810 Patrocínio";1;-;-;1;-;-;-;-;-;-;-;-;2
"314910 Pedralva";-;-;-;-;-;-;-;-;-;-;-;1;1
"315250 Pouso Alegre";-;-;1;-;-;-;-;-;-;-;-;1;2
"315260 Pouso Alto";-;-;-;1;-;-;-;-;-;-;-;-;1
"315460 Ribeirão das Neves";1;-;-;-;-;-;-;-;-;-;-;-;1
"315727 Santa Bárbara do Monte Verde";-;1;-;-;-;-;-;-;-;-;-;-;1
"315800 Santa Maria de Itabira";-;1;-;-;-;-;-;-;-;-;-;-;1
"315930 Santa Rita de Jacutinga";2;1;-;-;-;-;-;-;-;-;-;-;3
"315890 Santana do Manhuaçu";1;-;-;-;-;-;-;-;-;-;-;-;1
"316240 São João da Ponte";-;-;1;-;-;-;-;-;-;-;-;-;1
"316470 São Sebastião do Paraíso";1;-;-;-;-;-;-;-;-;-;-;-;1
"316730 Silveirânia";-;-;-;-;-;-;-;-;-;-;-;1;1
"316930 Três Corações";-;1;-;-;-;-;-;-;-;-;-;-;1
