LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2021
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"311750 Conceição do Mato Dentro";-;-;-;-;-;1;-;-;-;-;-;-;1
"311830 Conselheiro Lafaiete";1;-;-;-;-;-;-;-;-;-;-;-;1
"311860 Contagem";-;-;-;-;2;-;-;-;-;1;-;-;3
"311930 Coromandel";-;-;-;-;-;-;-;-;-;-;-;1;1
"311990 Córrego do Bom Jesus";-;-;-;-;-;-;-;-;-;1;-;-;1
"312230 Divinópolis";-;-;1;-;-;2;32;-;-;-;-;-;35
"312350 Douradoquara";1;-;-;-;-;-;-;-;-;-;-;-;1
"312390 Entre Rios de Minas";-;-;-;-;-;-;-;-;-;1;-;-;1
"312440 Espírito Santo do Dourado";-;-;-;2;-;-;-;-;-;-;-;-;2
"312480 Estrela do Sul";-;-;-;-;-;-;-;-;-;1;-;-;1
"312490 Eugenópolis";-;-;-;-;-;-;-;-;1;-;-;-;1
"312570 Felixlândia";-;-;-;-;-;-;-;-;1;-;-;-;1
"312610 Formiga";-;-;-;-;-;-;-;-;-;-;1;-;1
"312770 Governador Valadares";-;-;-;-;1;-;-;-;-;-;1;-;2
"312870 Guaxupé";-;-;-;-;-;-;-;-;-;-;-;1;1
"312980 Ibirité";-;-;1;-;-;-;-;-;-;-;-;-;1
"313130 Ipatinga";-;-;-;-;-;-;-;-;-;1;-;-;1
"313240 Itajubá";-;1;-;-;-;2;-;-;-;1;-;-;4
"313670 Juiz de Fora";-;-;1;-;-;-;-;1;-;1;3;-;6
"313820 Lavras";-;-;-;-;-;-;-;-;-;1;-;-;1
"313940 Manhuaçu";-;-;-;-;1;-;-;-;-;1;-;-;2
"314330 Montes Claros";-;1;-;-;-;-;-;-;-;-;-;-;1
"314390 Muriaé";-;-;-;-;-;-;-;-;-;1;-;-;1
"314400 Mutum";-;-;-;-;-;-;-;-;-;-;-;1;1
"314520 Nova Serrana";-;-;-;-;-;1;-;-;-;-;-;-;1
"314530 Novo Cruzeiro";-;-;-;-;-;-;-;-;-;1;-;-;1
"314760 Passa Quatro";-;-;-;-;-;-;-;1;-;-;-;-;1
"314790 Passos";-;-;-;-;-;-;1;-;-;-;-;-;1
"314810 Patrocínio";-;-;-;-;-;-;1;-;1;-;-;-;2
"314970 Perdigão";-;-;-;-;-;-;-;-;-;-;-;1;1
"315060 Piracema";-;1;-;-;-;-;-;-;-;-;-;-;1
"315100 Piranguinho";-;-;-;-;-;-;1;-;-;-;-;-;1
"315170 Poço Fundo";-;-;1;-;-;-;-;-;-;-;-;-;1
"315210 Ponte Nova";1;-;1;-;-;-;-;-;-;1;-;-;3
"315250 Pouso Alegre";-;-;-;-;-;-;-;-;-;1;-;-;1
"315310 Presidente Bernardes";-;1;-;-;-;-;-;-;-;-;-;-;1
"315370 Quartel Geral";-;-;-;-;-;-;-;-;-;-;1;-;1
"315460 Ribeirão das Neves";1;-;-;-;-;-;-;-;-;-;-;-;1
"315770 Santa Juliana";-;-;-;-;-;-;-;-;-;-;-;1;1
"315860 Santana do Deserto";-;-;-;-;-;-;-;-;-;-;-;1;1
"316150 São Geraldo";-;-;-;-;-;-;1;-;-;-;-;-;1
"316320 São José do Alegre";-;-;-;-;-;-;-;1;-;-;-;-;1
"316360 São José do Mantimento";-;1;-;-;-;-;-;-;-;-;-;-;1
"316490 São Sebastião do Rio Verde";-;-;-;-;-;-;1;1;-;-;-;-;2
"316730 Silveirânia";-;1;-;-;-;-;-;-;-;-;-;-;1
"316860 Teófilo Otoni";-;-;-;-;-;-;-;-;-;-;-;1;1
"316870 Timóteo";-;1;-;-;-;-;-;-;-;-;-;-;1
"316920 Tombos";-;-;-;-;-;-;-;-;1;-;-;-;1
"316970 Turmalina";-;-;-;-;1;-;-;-;-;-;-;-;1
"316990 Ubá";-;-;-;-;-;-;-;-;-;2;-;2;4
"317010 Uberaba";-;-;-;1;-;-;-;-;1;-;-;-;2
"317020 Uberlândia";-;-;-;-;-;-;-;1;-;-;-;1;2
"317070 Varginha";1;-;-;-;-;-;-;-;-;1;-;-;2
"317130 Viçosa";-;-;-;-;-;-;-;1;1;-;-;-;2
"330010 Angra dos Reis";-;-;-;-;-;-;1;-;-;-;-;-;1
"330030 Barra do Piraí";-;-;-;1;-;-;-;-;-;-;-;-;1
"330040 Barra Mansa";-;-;-;-;-;-;-;-;-;1;-;-;1
"330045 Belford Roxo";-;-;-;-;-;-;-;-;-;-;-;1;1
"330100 Campos dos Goytacazes";-;-;-;-;-;-;1;-;-;-;3;1;5
"330170 Duque de Caxias";1;-;1;-;-;-;-;1;-;-;1;-;4
"330180 Engenheiro Paulo de Frontin";-;-;-;-;-;-;-;-;-;1;-;-;1
"330190 Itaboraí";1;-;-;-;-;-;-;-;-;-;-;-;1
"330200 Itaguaí";-;-;1;-;-;-;-;-;-;-;-;-;1
"330220 Itaperuna";-;1;-;-;-;-;-;1;1;1;-;1;5
"330230 Laje do Muriaé";-;-;-;-;-;-;-;-;-;-;-;1;1
"330240 Macaé";-;1;-;-;-;-;-;-;-;-;-;-;1
"330250 Magé";1;-;-;-;-;-;1;-;-;-;-;-;2
"330300 Miracema";-;-;-;-;-;-;-;-;1;-;-;-;1
"330330 Niterói";1;-;-;-;-;2;-;-;-;1;2;-;6
"330340 Nova Friburgo";1;-;-;-;-;-;1;-;-;-;-;1;3
"330350 Nova Iguaçu";1;-;-;-;-;-;-;-;-;1;-;-;2
"330360 Paracambi";-;-;-;-;-;-;-;-;1;-;-;-;1
"330380 Paraty";-;-;-;-;-;-;-;-;-;-;1;-;1
"330390 Petrópolis";1;1;1;1;1;-;1;-;1;-;-;-;7
"330395 Pinheiral";-;-;-;-;-;1;-;-;-;-;-;-;1
"330410 Porciúncula";-;-;-;-;-;-;-;-;-;2;-;-;2
"330411 Porto Real";-;-;-;-;-;-;1;-;-;-;-;-;1
"330420 Resende";-;-;-;-;-;-;-;-;1;1;-;-;2
"330450 Rio das Flores";-;-;1;-;-;-;-;-;-;-;-;-;1
"330455 Rio de Janeiro";4;2;7;3;1;1;1;-;1;2;6;3;31
"330490 São Gonçalo";-;-;1;-;-;-;-;-;-;-;-;-;1
"330580 Teresópolis";-;-;-;-;-;-;-;1;-;-;-;-;1
"330600 Três Rios";1;-;-;-;-;-;-;-;1;-;-;-;2
"330610 Valença";-;-;2;-;-;-;-;-;-;-;-;-;2
"330620 Vassouras";1;-;-;-;-;-;-;-;-;-;-;-;1
"330630 Volta Redonda";-;-;-;-;-;-;-;1;-;-;2;1;4
"350190 Amparo";-;-;-;-;1;-;-;-;-;-;-;-;1
"350330 Araras";-;1;-;-;-;-;-;-;-;-;-;-;1
"350550 Barretos";-;-;-;-;-;-;-;-;-;-;-;1;1
"350570 Barueri";-;-;4;-;-;-;-;-;-;-;-;1;5
"350600 Bauru";-;-;1;-;1;-;-;-;-;-;-;1;3
"350630 Bernardino de Campos";-;-;-;-;-;-;-;1;-;-;-;-;1
"350750 Botucatu";-;-;-;-;-;-;-;-;-;1;1;-;2
"350760 Bragança Paulista";-;-;1;-;-;-;-;-;-;2;1;-;4
"350950 Campinas";3;-;1;-;-;1;2;-;-;-;-;-;7
"350960 Campo Limpo Paulista";-;-;-;1;-;-;-;-;-;-;-;-;1
"350970 Campos do Jordão";-;-;1;-;-;-;-;-;-;-;1;-;2
"351040 Capivari";-;-;-;-;-;-;-;-;1;-;-;-;1
"351050 Caraguatatuba";-;-;-;-;1;-;-;-;-;-;-;-;1
"351060 Carapicuíba";1;-;-;-;-;-;-;-;1;1;-;-;3
"351110 Catanduva";1;-;-;-;-;-;-;-;-;-;-;-;1
"351150 Cerquilho";-;-;-;-;-;-;-;-;-;1;-;-;1
"351300 Cotia";-;-;-;1;-;-;-;-;-;-;-;-;1
"351350 Cubatão";-;-;-;-;-;1;-;-;-;-;-;-;1
"351380 Diadema";1;-;-;-;-;-;-;-;-;-;-;-;1
"351500 Embu das Artes";-;-;1;-;-;1;-;-;-;-;-;-;2
"351570 Ferraz de Vasconcelos";-;-;-;-;-;-;-;-;-;-;1;-;1
"351640 Franco da Rocha";-;-;-;-;-;-;-;-;-;1;-;-;1
"351670 Garça";-;-;-;-;-;-;-;-;-;-;1;-;1
"351870 Guarujá";-;2;3;1;1;1;1;-;2;-;1;1;13
"351880 Guarulhos";3;3;1;-;3;-;1;-;-;1;-;-;12
