 ESQUISTOSSOMOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2018
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"290200 ARACATU";-;-;-;-;-;-;-;-;-;5;1;-;6
"290210 ARACI";-;-;-;1;-;-;-;1;-;-;-;-;2
"290225 ARATACA";-;-;-;-;-;-;-;-;-;-;-;1;1
"290265 BANZAE";-;-;-;-;1;-;-;-;-;-;-;-;1
"290320 BARREIRAS";1;-;-;-;-;1;-;1;2;5;1;-;11
"290323 BARRO ALTO";-;1;4;2;9;1;-;1;4;7;5;3;37
"290327 BARROCAS";1;-;-;-;-;-;-;-;-;1;1;-;3
"290390 BOM JESUS DA LAPA";-;-;-;-;-;-;1;-;1;-;-;-;2
"290405 BONITO";-;1;-;-;-;1;2;-;-;-;-;-;4
"290460 BRUMADO";-;1;-;-;1;-;-;-;-;-;-;-;2
"290500 CACULE";4;-;-;-;-;-;-;-;-;-;-;-;4
"290515 CAETANOS";-;-;-;-;-;-;-;-;-;1;-;-;1
"290620 CANARANA";-;2;2;-;1;2;-;1;-;-;-;-;8
"290650 CANDEIAS";-;11;1;-;-;-;-;-;-;-;-;-;12
"290660 CANDIBA";-;-;-;-;-;-;-;-;-;-;-;1;1
"290670 CANDIDO SALES";-;-;-;-;1;-;-;-;-;-;-;-;1
"290680 CANSANCAO";-;-;-;-;-;-;-;1;-;-;-;-;1
"290689 CARAIBAS";-;-;-;-;-;-;-;-;-;-;-;1;1
"290740 CATOLANDIA";-;-;-;-;-;-;-;-;-;-;-;1;1
"290780 CICERO DANTAS";1;-;-;1;-;-;-;-;1;-;-;-;3
"290810 COCOS";1;-;-;1;-;-;1;1;3;-;1;-;8
"290840 CONCEICAO DO COITE";-;-;-;-;-;-;-;-;3;-;-;1;4
"290900 CORDEIROS";-;-;-;-;-;-;-;-;1;-;-;-;1
"290910 CORIBE";-;-;-;-;-;1;-;-;-;-;-;-;1
"290920 CORONEL JOAO SA";-;-;-;-;-;1;-;-;-;-;-;-;1
"290930 CORRENTINA";-;-;-;-;-;-;-;1;-;-;-;-;1
"290990 CURACA";-;-;-;-;-;1;-;-;-;-;-;-;1
"291010 DOM BASILIO";-;-;1;1;-;-;1;-;-;1;1;2;7
"291075 FATIMA";-;-;-;-;-;-;-;1;-;-;-;-;1
"291080 FEIRA DE SANTANA";-;-;1;-;-;-;-;-;-;-;-;-;1
"291085 FILADELFIA";-;-;-;-;-;-;-;1;-;-;-;-;1
"291140 GLORIA";1;-;-;-;-;-;-;-;-;-;-;-;1
"291170 GUANAMBI";1;-;-;1;-;-;-;-;-;-;-;-;2
"291210 IBICARAI";-;1;-;1;-;1;-;-;-;-;-;-;3
"291250 IBIPITANGA";2;-;-;-;-;-;-;-;-;-;-;-;2
"291310 IBITITA";-;-;-;-;-;-;-;-;-;1;-;-;1
"291330 ICHU";-;-;-;1;1;-;-;1;-;-;-;-;3
"291350 IGUAI";-;1;-;-;-;-;-;1;-;-;-;-;2
"291460 IRECE";-;1;3;3;-;-;1;2;-;2;-;-;12
"291470 ITABERABA";-;-;-;-;-;-;-;-;1;-;-;-;1
"291500 ITAETE";1;1;-;-;-;-;-;-;-;-;-;-;2
"291540 ITAJU DO COLONIA";-;-;-;-;-;1;-;1;-;-;-;-;2
"291620 ITAPE";-;-;-;-;-;-;1;-;-;-;1;-;2
"291740 JACARACI";-;1;-;-;-;-;-;-;-;-;-;-;1
"291770 JAGUARARI";-;-;-;-;1;1;-;-;-;-;-;-;2
"291835 JOAO DOURADO";-;-;1;-;-;-;1;-;-;-;-;-;2
"291840 JUAZEIRO";-;-;-;1;-;-;-;-;1;-;-;-;2
"291955 LUIS EDUARDO MAGALHAES";-;3;1;5;2;-;1;-;-;1;-;2;15
"291992 MADRE DE DEUS";1;-;1;-;-;1;1;-;-;-;-;-;4
"292080 MARCIONILIO SOUZA";-;-;-;-;1;-;1;-;-;-;-;-;2
"292145 MIRANTE";-;-;-;-;-;-;1;1;-;-;-;-;2
"292200 MUCURI";1;-;-;-;-;-;-;-;-;-;-;-;1
"292240 MUTUIPE";-;1;-;-;-;-;-;-;-;-;-;-;1
"292273 NOVA FATIMA";-;-;-;-;-;-;-;-;-;1;-;-;1
"292285 NOVA REDENCAO";1;-;-;2;-;-;-;-;-;-;-;-;3
"292290 NOVA SOURE";-;-;-;-;1;1;-;-;-;2;-;-;4
"292335 OUROLANDIA";-;-;-;-;-;-;1;-;-;-;-;-;1
"292380 PARIPIRANGA";-;-;1;1;-;-;-;-;1;-;-;-;3
"292400 PAULO AFONSO";-;-;-;-;-;-;-;-;-;-;1;-;1
"292440 PILAO ARCADO";-;1;-;-;-;-;-;-;-;-;-;-;1
"292450 PINDAI";-;-;-;-;-;-;-;-;-;-;1;4;5
"292465 PINTADAS";-;-;-;-;-;-;-;-;-;-;1;-;1
"292470 PIRIPA";-;-;-;-;-;-;-;-;1;1;1;3;6
"292500 PLANALTO";-;-;-;-;-;-;-;1;-;-;-;-;1
"292560 PRESIDENTE DUTRA";-;-;-;-;-;-;-;-;-;-;1;-;1
"292575 PRESIDENTE TANCREDO NEVES";2;3;4;2;3;3;3;3;2;4;2;3;34
"292580 QUEIMADAS";-;-;-;-;-;1;-;-;-;-;-;-;1
"292593 QUIXABEIRA";-;-;-;-;-;-;-;1;-;-;-;-;1
"292595 RAFAEL JAMBEIRO";-;-;-;-;-;-;-;1;-;-;-;-;1
"292630 RIACHAO DO JACUIPE";-;-;-;-;-;-;-;-;1;-;-;-;1
"292730 SALINAS DA MARGARIDA";-;-;-;-;1;-;-;-;-;-;-;-;1
"292740 SALVADOR";1;3;1;1;-;-;1;1;2;2;6;2;20
"292770 SANTA CRUZ CABRALIA";-;-;-;-;1;-;-;1;-;-;-;-;2
"292805 SANTA LUZIA";1;-;-;-;-;-;-;2;4;1;1;1;10
"292870 SANTO ANTONIO DE JESUS";-;-;-;1;-;1;-;1;1;-;-;-;4
"292890 SAO DESIDERIO";-;-;-;-;-;1;1;1;1;-;-;1;5
"292925 SAO GABRIEL";-;1;-;-;-;-;-;-;-;-;-;-;1
"292950 SAO SEBASTIAO DO PASSE";-;-;4;5;2;2;-;1;-;-;-;-;14
"292990 SEABRA";-;-;-;-;1;-;-;-;-;-;-;-;1
"293020 SENTO SE";-;-;-;-;-;-;-;-;-;-;-;1;1
"293030 SERRA DOURADA";1;-;-;-;-;-;-;-;-;-;-;-;1
"293070 SIMOES FILHO";-;-;-;-;-;1;-;-;-;1;-;-;2
"293076 SITIO DO QUINTO";-;-;-;-;-;-;1;-;-;-;-;-;1
"293135 TEIXEIRA DE FREITAS";-;-;-;-;-;-;-;-;-;1;-;-;1
"293180 TREMEDAL";-;-;-;2;-;-;-;-;-;-;-;-;2
"293200 UAUA";-;-;-;-;-;-;-;-;-;1;-;-;1
"293210 UBAIRA";-;-;-;-;1;-;-;-;-;-;3;-;4
"293240 UIBAI";1;-;-;-;-;-;-;-;-;-;-;-;1
"293330 VITORIA DA CONQUISTA";-;-;-;-;-;-;-;-;1;-;-;-;1
"310040 ACAIACA";-;-;-;-;-;-;-;-;1;-;-;-;1
"310050 ACUCENA";26;11;16;23;16;12;14;12;14;15;6;1;166
"310060 AGUA BOA";1;-;8;-;-;-;-;-;-;-;-;-;9
"310210 ALTO RIO DOCE";-;1;-;-;-;-;1;-;-;-;-;-;2
"310230 ALVINOPOLIS";-;2;3;3;9;2;-;3;1;4;1;-;28
"310250 AMPARO DO SERRA";-;-;-;-;1;-;1;2;1;1;2;1;9
"310260 ANDRADAS";-;-;-;2;4;1;1;-;1;-;1;-;10
"310400 ARAXA";1;1;1;-;-;-;-;-;-;-;-;-;3
"310450 ARINOS";1;1;-;-;-;-;-;-;1;-;-;-;3
"310510 BAMBUI";-;-;1;-;-;-;-;-;-;-;-;-;1
"310540 BARAO DE COCAIS";-;-;-;-;-;3;-;-;-;-;-;-;3
"310560 BARBACENA";-;-;-;-;1;-;-;-;-;-;-;1;2
"310570 BARRA LONGA";1;-;1;1;-;1;1;1;-;-;-;-;6
"310620 BELO HORIZONTE";24;29;28;45;37;29;26;36;25;22;29;23;353
"310670 BETIM";3;3;3;1;1;4;2;3;1;1;-;2;24
"310690 BICAS";-;1;-;-;-;-;-;-;-;-;-;-;1
"310740 BOM DESPACHO";1;1;2;-;6;1;-;1;-;1;1;-;14
"310900 BRUMADINHO";-;1;-;-;-;-;-;-;-;-;-;-;1
"310925 BUGRE";2;-;-;2;1;3;-;2;-;-;-;1;11
"311120 CAMPO BELO";-;-;-;-;-;1;-;-;-;-;-;-;1
"311265 CAPITAO ANDRADE";2;3;-;-;-;-;-;-;-;-;-;-;5
"311310 CARANAIBA";4;2;3;1;-;-;-;1;-;1;-;-;12
"311340 CARATINGA";-;-;-;-;-;-;-;-;1;-;-;-;1
"311535 CATAS ALTAS";-;-;-;-;1;1;1;-;-;-;-;-;3
"311540 CATAS ALTAS DA NORUEGA";-;-;-;-;1;-;-;1;2;-;-;-;4
"311730 CONCEICAO DAS ALAGOAS";1;1;1;2;1;2;-;2;2;-;2;1;15
"311760 CONCEICAO DO PARA";-;-;-;-;-;-;-;-;1;-;1;-;2
"311783 CONEGO MARINHO";-;-;-;-;-;-;5;-;-;-;-;-;5
"311800 CONGONHAS";-;4;-;-;-;-;1;-;2;-;-;1;8
"311860 CONTAGEM";3;3;-;2;1;2;1;-;-;2;1;1;16
"311920 COROACI";-;-;1;-;-;-;-;-;-;-;-;-;1
"311950 CORONEL MURTA";-;-;-;-;-;-;-;1;-;-;-;-;1
"311960 CORONEL PACHECO";-;-;-;-;-;-;1;-;-;-;-;-;1
"311995 CORREGO FUNDO";-;-;-;-;-;-;1;-;-;-;-;-;1
"312040 CRISTIANO OTONI";-;1;-;-;-;-;-;-;-;1;-;-;2
"312170 DIOGO DE VASCONCELOS";-;-;1;-;-;-;-;-;-;1;1;-;3
"312190 DIVINESIA";-;-;-;1;-;-;-;-;-;-;-;-;1
"312230 DIVINOPOLIS";-;-;-;-;-;-;-;1;-;-;1;-;2
"312270 DOM SILVERIO";3;6;15;16;16;13;10;10;10;14;8;6;127
"312290 DONA EUSEBIA";-;-;-;-;1;-;-;-;-;-;-;-;1
